S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
180,MAHARAJGANJ(63),MAHARAJGANJ,Uttar Pradesh,PANKAJ CHAUDHARY,591310,35451,S2463,369
206,MAHASAMUND(9),MAHASAMUND,Chhattisgarh,ROOP KUMARI CHOUDHARY,703659,145456,S269,369
229,MAHBUBNAGAR(11),MAHBUBNAGAR,Telangana,ARUNA. D. K,510747,4500,S2911,369
30,MAHESANA(4),MAHESANA,Gujarat,HARIBHAI PATEL,686406,328046,S064,369
7,MAINPURI(21),MAINPURI,Uttar Pradesh,DIMPLE YADAV,598526,221639,S2421,1680
1,MALAPPURAM(6),MALAPPURAM,Kerala,E.T.  MOHAMMED BASHEER,644006,300118,S116,772
85,MALDAHADAKSHIN(8),MALDAHADAKSHIN,West Bengal,ISHA KHAN CHOUDHURY,572395,128368,S258,742
192,MALDAHAUTTAR(7),MALDAHAUTTAR,West Bengal,KHAGEN MURMU,527023,77708,S257,369
226,MALKAJGIRI(7),MALKAJGIRI,Telangana,EATALA RAJENDER,991042,391475,S297,369
59,MANDI(2),MANDI,Himachal Pradesh,KANGNA RANAUT,537022,74755,S082,369
93,MANDLA(14),MANDLA,Madhya Pradesh,FAGGAN SINGH KULASTE,751375,103846,S1214,369
102,MANDSOUR(23),MANDSOUR,Madhya Pradesh,SUDHEER GUPTA,945761,500655,S1223,369
1,MANDYA(20),MANDYA,Karnataka,H.D. KUMARASWAMY,851881,284620,S1020,804
161,MATHURA(17),MATHURA,Uttar Pradesh,HEMAMALINI DHARMENDRA DEOL,510064,293407,S2417,369
11,MATHURAPUR(20),MATHURAPUR,West Bengal,BAPI HALDAR,755731,201057,S2520,140
6,MAVAL(33),MAVAL,Maharashtra,SHRIRANG APPA CHANDU BARNE,692832,96615,S1333,3529
33,MAVELIKKARA(16),MAVELIKKARA,Kerala,KODIKUNNIL SURESH,369516,10868,S1116,742
74,MAYILADUTHURAI(28),MAYILADUTHURAI,Tamil Nadu,SUDHA R,518459,271183,S2228,742
122,MAYURBHANJ(5),MAYURBHANJ,Odisha,NABA CHARAN MAJHI,585971,219334,S185,369
225,MEDAK(6),MEDAK,Telangana,MADHAVANENI RAGHUNANDAN RAO,471217,39139,S296,369
23,MEDINIPUR(34),MEDINIPUR,West Bengal,JUNE MALIAH,702192,27191,S2534,140
155,MEERUT(10),MEERUT,Uttar Pradesh,ARUN GOVIL,546469,10585,S2410,369
1,MIRZAPUR(79),MIRZAPUR,Uttar Pradesh,ANUPRIYA PATEL,471631,37810,S2479,2070
168,MISRIKH(32),MISRIKH,Uttar Pradesh,ASHOK KUMAR RAWAT,475016,33406,S2432,369
1,MIZORAM(1),MIZORAM,Mizoram,RICHARD VANLALHMANGAIHA,208552,68288,S161,2757
13,MOHANLALGANJ(34),MOHANLALGANJ,Uttar Pradesh,R.K. CHAUDHARY,667869,70292,S2434,1680
3,MORADABAD(6),MORADABAD,Uttar Pradesh,RUCHI VIRA,637363,105762,S246,1680
80,MORENA(1),MORENA,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,515477,52530,S121,369
114,MUMBAINORTH(26),MUMBAINORTH,Maharashtra,PIYUSH GOYAL,680146,357608,S1326,369
46,MUMBAINORTHCENTRAL(29),MUMBAINORTHCENTRAL,Maharashtra,GAIKWAD VARSHA EKNATH,445545,16514,S1329,742
5,MUMBAINORTHEAST(28),MUMBAINORTHEAST,Maharashtra,SANJAY DINA PATIL,450937,29861,S1328,3369
5,MUMBAINORTHWEST(27),MUMBAINORTHWEST,Maharashtra,RAVINDRA DATTARAM WAIKAR,452644,48,S1327,3529
7,MUMBAISOUTH(31),MUMBAISOUTH,Maharashtra,ARVIND GANPAT SAWANT,395655,52673,S1331,3369
6,MUMBAISOUTHCENTRAL(30),MUMBAISOUTHCENTRAL,Maharashtra,ANIL YESHWANT DESAI,395138,53384,S1330,3369
11,MUNGER(28),MUNGER,Bihar,RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,S0428,805
4,MURSHIDABAD(11),MURSHIDABAD,West Bengal,ABU TAHER KHAN,682442,164215,S2511,140
2,MUZAFFARNAGAR(3),MUZAFFARNAGAR,Uttar Pradesh,HARENDRA SINGH MALIK,470721,24672,S243,1680
20,MUZAFFARPUR(15),MUZAFFARPUR,Bihar,RAJ BHUSHAN CHOUDHARY,619749,234927,S0415,369
73,MYSORE(21),MYSORE,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,S1021,369
129,NABARANGPUR(12),NABARANGPUR,Odisha,BALABHADRA MAJHI,481396,87536,S1812,369
53,NAGALAND(1),NAGALAND,Nagaland,S SUPONGMEREN JAMIR,401951,50984,S171,742
2,NAGAON(9),NAGAON,Assam,PRADYUT BORDOLOI,788850,212231,S039,742
2,NAGAPATTINAM(29),NAGAPATTINAM,Tamil Nadu,SELVARAJ V,465044,208957,S2229,544
91,NAGARKURNOOL(12),NAGARKURNOOL,Telangana,DR.MALLU RAVI,465072,94414,S2912,742
1,NAGAUR(14),NAGAUR,Rajasthan,HANUMAN BENIWAL,596955,42225,S2014,2484
1,NAGINA(5),NAGINA,Uttar Pradesh,CHANDRASHEKHAR,512552,151473,S245,2989
112,NAGPUR(10),NAGPUR,Maharashtra,NITIN JAIRAM GADKARI,655027,137603,S1310,369
220,NAINITAL-UDHAMSINGHNAGAR(4),NAINITAL-UDHAMSINGHNAGAR,Uttarakhand,AJAY BHATT,772671,334548,S284,369
12,NALANDA(29),NALANDA,Bihar,KAUSHALENDRA KUMAR,559422,169114,S0429,805
92,NALGONDA(13),NALGONDA,Telangana,KUNDURU RAGHUVEER,784337,559905,S2913,742
13,NAMAKKAL(16),NAMAKKAL,Tamil Nadu,MATHESWARAN V S,462036,29112,S2216,582
44,NANDED(16),NANDED,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,528894,59442,S1316,742
37,NANDURBAR(1),NANDURBAR,Maharashtra,ADV GOWAAL KAGADA PADAVI,745998,159120,S131,742
11,NANDYAL(17),NANDYAL,Andhra Pradesh,DR BYREDDY SHABARI,701131,111975,S0117,1745
3,NARSAPURAM(9),NARSAPURAM,Andhra Pradesh,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,S019,369
8,NARSARAOPET(14),NARSARAOPET,Andhra Pradesh,LAVU SRIKRISHNA DEVARAYALU,807996,159729,S0114,1745
4,NASHIK(21),NASHIK,Maharashtra,RAJABHAU (PARAG) PRAKASH WAJE,616729,162001,S1321,3369
51,NAVSARI(25),NAVSARI,Gujarat,C R PATIL,1031065,773551,S0625,369
26,NAWADA(39),NAWADA,Bihar,VIVEK THAKUR,410608,67670,S0439,369
15,NELLORE(22),NELLORE,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,766202,245902,S0122,1745
235,NEWDELHI(4),NEWDELHI,NCT OF Delhi,BANSURI SWARAJ,453185,78370,U054,369
15,NILGIRIS(19),NILGIRIS,Tamil Nadu,RAJA A,473212,240585,S2219,582
224,NIZAMABAD(4),NIZAMABAD,Telangana,ARVIND DHARMAPURI,592318,109241,S294,369
233,NORTH-EASTDELHI(2),NORTH-EASTDELHI,NCT OF Delhi,MANOJ TIWARI,824451,138778,U052,369
27,NORTHGOA(1),NORTHGOA,NCT OF Delhi,SHRIPAD YESSO NAIK,257326,116015,S051,369
236,NORTH-WESTDELHI(5),NORTH-WESTDELHI,NCT OF Delhi,YOGENDER CHANDOLIYA,866483,290849,U055,369
10,ONGOLE(16),ONGOLE,Andhra Pradesh,MAGUNTA SREENIVASULU REDDY,701894,50199,S0116,1745
9,OSMANABAD(40),OSMANABAD,Maharashtra,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846,S1340,3369
51,OUTERMANIPUR(2),OUTERMANIPUR,Manipur,ALFRED KANNGAM S ARTHUR,384954,85418,S142,742
28,PALAKKAD(8),PALAKKAD,Kerala,V K SREEKANDAN,421169,75283,S118,742
215,PALAMAU(13),PALAMAU,Jharkhand,VISHNU DAYAL RAM,770362,288807,S2713,369
113,PALGHAR(22),PALGHAR,Maharashtra,DR. HEMANT VISHNU SAVARA,601244,183306,S1322,369
143,PALI(15),PALI,Rajasthan,P. P. CHAUDHARY,757389,245351,S2015,369
44,PANCHMAHAL(18),PANCHMAHAL,Gujarat,RAJPALSINH MAHENDRASINH JADAV,794579,509342,S0618,369
3,PARBHANI(17),PARBHANI,Maharashtra,JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061,S1317,3369
15,PASCHIMCHAMPARAN(2),PASCHIMCHAMPARAN,Bihar,DR.SANJAY JAISWAL,580421,136568,S042,369
29,PATAN(3),PATAN,Gujarat,DABHI  BHARATSINHJI  SHANKARJI,591947,31876,S063,369
34,PATHANAMTHITTA(17),PATHANAMTHITTA,Kerala,ANTO ANTONY,367623,66119,S1117,742
61,PATIALA(13),PATIALA,Punjab,DR DHARAMVIRA GANDHI,305616,14831,S1913,742
1,PATLIPUTRA(31),PATLIPUTRA,Bihar,MISHA BHARTI,613283,85174,S0431,1420
25,PATNASAHIB(30),PATNASAHIB,Bihar,RAVI SHANKAR PRASAD,588270,153846,S0430,369
89,PEDDAPALLE(2),PEDDAPALLE,Telangana,VAMSI KRISHNA GADDAM,475587,131364,S292,742
18,PERAMBALUR(25),PERAMBALUR,Tamil Nadu,ARUN NEHRU,603209,389107,S2225,582
