S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
85,TIKAMGARH(6),TIKAMGARH,Madhya Pradesh,DR. VIRENDRA KUMAR,715050,403312,S126,369
1,TIRUCHIRAPPALLI(24),TIRUCHIRAPPALLI,Tamil Nadu,DURAI VAIKO,542213,313094,S2224,1046
77,TIRUNELVELI(38),TIRUNELVELI,Tamil Nadu,ROBERT BRUCE C,502296,165620,S2238,742
1,TIRUPPUR(18),TIRUPPUR,Tamil Nadu,"SUBBARAYAN, K.",472739,125928,S2218,544
70,TIRUVALLUR(1),TIRUVALLUR,Tamil Nadu,Sasikanth Senthil,796956,572155,S221,742
9,TIRUVANNAMALAI(11),TIRUVANNAMALAI,Tamil Nadu,"ANNADURAI, C.N.",547379,233931,S2211,582
68,TONK-SAWAIMADHOPUR(12),TONK-SAWAIMADHOPUR,Rajasthan,HARISH CHANDRA MEENA,623763,64949,S2012,742
153,TRIPURAEAST(2),TRIPURAEAST,Tripura,KRITI DEVI DEBBARMAN,777447,486819,S232,369
152,TRIPURAWEST(1),TRIPURAWEST,Tripura,BIPLAB KUMAR DEB,881341,611578,S231,369
72,TUMKUR(19),TUMKUR,Karnataka,V. SOMANNA,720946,175594,S1019,369
52,TURA(2),TURA,Meghalaya,SALENG A SANGMA,383919,155241,S152,742
146,UDAIPUR(19),UDAIPUR,Rajasthan,MANNA LAL RAWAT,738286,261608,S2019,369
239,UDHAMPUR(4),UDHAMPUR,Jammu and Kashmir,DR JITENDRA SINGH,571076,124373,U084,369
69,UDUPICHIKMAGALUR(15),UDUPICHIKMAGALUR,Karnataka,KOTA SRINIVAS POOJARY,732234,259175,S1015,369
23,UJIARPUR(22),UJIARPUR,Bihar,NITYANAND RAI,515965,60102,S0422,369
101,UJJAIN(22),UJJAIN,Madhya Pradesh,ANIL FIROJIYA,836104,375860,S1222,369
17,ULUBERIA(26),ULUBERIA,West Bengal,SAJDA AHMED,724622,218673,S2526,140
169,UNNAO(33),UNNAO,Uttar Pradesh,SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818,S2433,369
67,UTTARAKANNADA(12),UTTARAKANNADA,Karnataka,VISHWESHWAR HEGDE KAGERI,782495,337428,S1012,369
25,VADAKARA(3),VADAKARA,Kerala,SHAFI PARAMBIL,557528,114506,S113,742
46,VADODARA(20),VADODARA,Gujarat,DR. HEMANG JOSHI,873189,582126,S0620,369
1,VAISHALI(16),VAISHALI,Bihar,VEENA DEVI,567043,89634,S0416,3165
1,VALMIKINAGAR(1),VALMIKINAGAR,Bihar,SUNIL KUMAR,523422,98675,S041,805
52,VALSAD(26),VALSAD,Gujarat,DHAVAL LAXMANBHAI PATEL,764226,210704,S0626,369
185,VARANASI(77),VARANASI,Uttar Pradesh,NARENDRA MODI,612970,152513,S2477,369
7,VELLORE(8),VELLORE,Tamil Nadu,DM KATHIR ANAND,568692,215702,S228,582
97,VIDISHA(18),VIDISHA,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,1116460,821408,S1218,369
6,VIJAYAWADA(12),VIJAYAWADA,Andhra Pradesh,KESINENI SIVANATH (CHINNI),794154,282085,S0112,1745
1,VILUPPURAM(13),VILUPPURAM,Tamil Nadu,RAVIKUMAR. D,477033,70703,S2213,1847
76,VIRUDHUNAGAR(34),VIRUDHUNAGAR,Tamil Nadu,MANICKAM TAGORE B,385256,4379,S2234,742
3,VISAKHAPATNAM(4),VISAKHAPATNAM,Andhra Pradesh,SRIBHARAT MATHUKUMILI,907467,504247,S014,1745
2,VIZIANAGARAM(3),VIZIANAGARAM,Andhra Pradesh,APPALANAIDU KALISETTI,743113,249351,S013,1745
94,WARANGAL(15),WARANGAL,Telangana,KADIYAM KAVYA,581294,220339,S2915,742
1,WARDHA(8),WARDHA,Maharashtra,AMAR SHARADRAO KALE,533106,81648,S138,3620
26,WAYANAD(4),WAYANAD,Kerala,RAHUL GANDHI,647445,364422,S114,742
237,WESTDELHI(6),WESTDELHI,NCT OF Delhi,KAMALJEET SEHRAWAT,842658,199013,U056,369
1,YAVATMAL-WASHIM(14),YAVATMAL-WASHIM,Maharashtra,SANJAY UTTAMRAO DESHMUKH,594807,94473,S1314,3369
90,ZAHIRABAD(5),ZAHIRABAD,Telangana,SURESH KUMAR SHETKAR,528418,46188,S295,742
